Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Kareem Abdul-Jabbar,18,13,449,105,213,0.493,0,1,0,105,212,0.495,41,50,0.82,33,84,149,51,6,31,28,57,251,,24.9,13.9,8.3,2.8
LeBron James,17,17,473,161,310,0.519,38,119,0.319,123,191,0.644,29,40,0.725,13,90,103,98,19,7,55,18,389,,27.8,22.9,6.1,5.8
Kobe Bryant,15,15,415,119,238,0.5,22,68,0.324,97,170,0.571,30,38,0.789,28,47,75,70,38,6,35,35,290,,27.7,19.3,5,4.7
Tim Duncan,15,12,311,63,115,0.548,1,4,0.25,62,111,0.559,13,17,0.765,38,98,136,31,13,8,31,16,140,,20.7,9.3,9.1,2.1
Kevin Garnett,14,11,287,72,141,0.511,0,4,0,72,137,0.526,14,16,0.875,25,63,88,40,16,11,20,10,158,,20.5,11.3,6.3,2.9
Dirk Nowitzki,14,2,227,49,109,0.45,10,34,0.294,39,75,0.52,14,16,0.875,15,37,52,16,10,5,14,8,122,,16.2,8.7,3.7,1.1
Michael Jordan,13,13,382,110,233,0.472,3,11,0.273,107,222,0.482,39,52,0.75,22,39,61,54,37,6,42,31,262,,29.4,20.2,4.7,4.2
Wilt Chamberlain,13,9,388,72,122,0.59,,,,72,122,0.59,47,94,0.5,,,197,36,,,,23,191,,29.8,14.7,15.2,2.8
Bob Cousy,13,,,52,158,0.329,,,,52,158,0.329,43,51,0.843,,,78,86,,,,27,147,,,11.3,6,6.6
John Havlicek,13,10,303,74,154,0.481,,,,74,154,0.481,31,41,0.756,2,10,46,31,4,0,4,20,179,,23.3,13.8,3.5,2.4
Hakeem Olajuwon,12,8,270,45,110,0.409,1,1,1,44,109,0.404,26,50,0.52,38,56,94,17,15,23,26,31,117,,22.5,9.8,7.8,1.4
Jerry West,12,11,341,62,137,0.453,,,,62,137,0.453,36,50,0.72,,,47,55,,,,28,160,,28.4,13.3,3.9,4.6
Karl Malone,12,8,244,58,107,0.542,0,0,,58,107,0.542,29,40,0.725,19,55,74,19,12,5,15,16,145,,20.3,12.1,6.2,1.6
Shaquille O'Neal,12,9,274,87,158,0.551,0,2,0,87,156,0.558,28,62,0.452,39,58,97,17,13,19,22,29,202,,22.9,16.8,8.1,1.4
Oscar Robertson,12,10,380,88,172,0.512,,,,88,172,0.512,70,98,0.714,,,69,81,,,,41,246,,31.7,20.5,5.8,6.8
Dwyane Wade,12,10,285,83,131,0.634,4,16,0.25,79,115,0.687,18,25,0.72,18,25,43,58,27,5,31,20,188,,23.8,15.7,3.6,4.8
Elvin Hayes,12,4,264,52,129,0.403,0,0,,52,129,0.403,22,34,0.647,16,38,92,17,5,6,5,37,126,,22,10.5,7.7,1.4
Bill Russell,12,7,343,51,111,0.459,,,,51,111,0.459,18,34,0.529,,,139,39,,,,37,120,,28.6,10,11.6,3.3
Moses Malone,11,8,271,44,98,0.449,0,0,,44,98,0.449,40,67,0.597,44,64,108,15,9,6,19,26,128,,24.6,11.6,9.8,1.4
Magic Johnson,11,10,331,64,131,0.489,10,21,0.476,54,110,0.491,38,42,0.905,21,36,57,127,21,7,48,25,176,,30.1,16,5.2,11.5
Julius Erving,11,11,316,85,178,0.478,1,1,1,84,177,0.475,50,63,0.794,34,36,70,35,18,11,19,31,221,,28.7,20.1,6.4,3.2
Elgin Baylor,11,11,321,70,164,0.427,,,,70,164,0.427,78,98,0.796,,,99,38,,,,31,218,,29.2,19.8,9,3.5
Dolph Schayes,11,,,48,109,0.44,,,,48,109,0.44,42,50,0.84,,,105,17,,,,32,138,,,12.5,9.5,1.5
Isiah Thomas,11,10,318,76,133,0.571,6,15,0.4,70,118,0.593,27,35,0.771,12,15,27,97,31,0,41,17,185,,28.9,16.8,2.5,8.8
Bob Pettit,11,9,360,81,193,0.42,,,,81,193,0.42,62,80,0.775,,,178,23,,,,25,224,,32.7,20.4,16.2,2.1
Hal Greer,10,2,207,47,102,0.461,,,,47,102,0.461,26,37,0.703,,,45,28,,,,29,120,,20.7,12,4.5,2.8
Larry Bird,10,9,287,52,123,0.423,3,13,0.231,49,110,0.445,27,32,0.844,19,60,79,41,23,3,31,28,134,,28.7,13.4,7.9,4.1
John Stockton,10,4,197,35,66,0.53,7,21,0.333,28,45,0.622,4,6,0.667,2,15,17,71,16,1,29,20,81,,19.7,8.1,1.7,7.1
Carmelo Anthony,10,8,262,76,150,0.507,17,52,0.327,59,98,0.602,16,22,0.727,33,42,75,11,5,3,10,12,185,,26.2,18.5,7.5,1.1
Ray Allen,10,0,201,55,130,0.423,22,71,0.31,33,59,0.559,13,17,0.765,7,19,26,22,11,2,13,13,145,,20.1,14.5,2.6,2.2
David Robinson,10,3,184,50,85,0.588,0,0,,50,85,0.588,41,59,0.695,22,40,62,8,13,13,11,26,141,,18.4,14.1,6.2,0.8
Chris Paul,10,4,270,53,100,0.53,22,47,0.468,31,53,0.585,6,7,0.857,8,35,43,128,26,0,25,22,134,,27,13.4,4.3,12.8
Kevin Durant,10,8,269,97,181,0.536,30,86,0.349,67,95,0.705,26,29,0.897,14,48,62,37,17,5,11,11,250,,26.9,25,6.2,3.7
Paul Pierce,10,0,151,41,90,0.456,6,32,0.188,35,58,0.603,8,11,0.727,5,21,26,18,12,1,12,10,96,,15.1,9.6,2.6,1.8
Paul Arizin,9,,,54,116,0.466,,,,54,116,0.466,29,36,0.806,,,47,6,,,,29,137,,,15.2,5.2,0.7
Gary Payton,9,2,195,34,78,0.436,6,23,0.261,28,55,0.509,11,11,1,13,17,30,73,19,0,26,13,85,,21.7,9.4,3.3,8.1
Patrick Ewing,9,3,190,44,82,0.537,0,0,,44,82,0.537,18,26,0.692,15,45,60,7,11,16,23,27,106,,21.1,11.8,6.7,0.8
Chris Bosh,9,3,175,43,82,0.524,4,12,0.333,39,70,0.557,8,15,0.533,13,33,46,10,9,2,14,8,98,,19.5,10.9,5.1,1.1
Russell Westbrook,9,2,202,81,160,0.506,22,65,0.338,59,95,0.621,10,17,0.588,23,24,47,34,13,0,13,9,194,,22.5,21.6,5.2,3.8
Clyde Drexler,9,4,166,40,79,0.506,4,14,0.286,36,65,0.554,12,12,1,17,27,44,23,12,6,18,19,96,,18.4,10.7,4.9,2.6
