,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game
Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,MP,PTS,TRB,AST
Kareem Abdul-Jabbar,18,13,449,105,213,.493,0,1,.000,105,212,.495,41,50,.820,33,84,149,51,6,31,28,57,251,,24.9,13.9,8.3,2.8
LeBron James,17,17,473,161,310,.519,38,119,.319,123,191,.644,29,40,.725,13,90,103,98,19,7,55,18,389,,27.8,22.9,6.1,5.8
Kobe Bryant,15,15,415,119,238,.500,22,68,.324,97,170,.571,30,38,.789,28,47,75,70,38,6,35,35,290,,27.7,19.3,5.0,4.7
Tim Duncan,15,12,311,63,115,.548,1,4,.250,62,111,.559,13,17,.765,38,98,136,31,13,8,31,16,140,,20.7,9.3,9.1,2.1
Kevin Garnett,14,11,287,72,141,.511,0,4,.000,72,137,.526,14,16,.875,25,63,88,40,16,11,20,10,158,,20.5,11.3,6.3,2.9
Dirk Nowitzki,14,2,227,49,109,.450,10,34,.294,39,75,.520,14,16,.875,15,37,52,16,10,5,14,8,122,,16.2,8.7,3.7,1.1
Michael Jordan,13,13,382,110,233,.472,3,11,.273,107,222,.482,39,52,.750,22,39,61,54,37,6,42,31,262,,29.4,20.2,4.7,4.2
Wilt Chamberlain,13,9,388,72,122,.590,,,,72,122,.590,47,94,.500,,,197,36,,,,23,191,,29.8,14.7,15.2,2.8
Bob Cousy,13,,,52,158,.329,,,,52,158,.329,43,51,.843,,,78,86,,,,27,147,,,11.3,6.0,6.6
John Havlicek,13,10,303,74,154,.481,,,,74,154,.481,31,41,.756,2,10,46,31,4,0,4,20,179,,23.3,13.8,3.5,2.4
Hakeem Olajuwon,12,8,270,45,110,.409,1,1,1.000,44,109,.404,26,50,.520,38,56,94,17,15,23,26,31,117,,22.5,9.8,7.8,1.4
Jerry West,12,11,341,62,137,.453,,,,62,137,.453,36,50,.720,,,47,55,,,,28,160,,28.4,13.3,3.9,4.6
Karl Malone,12,8,244,58,107,.542,0,0,,58,107,.542,29,40,.725,19,55,74,19,12,5,15,16,145,,20.3,12.1,6.2,1.6
Shaquille O'Neal,12,9,274,87,158,.551,0,2,.000,87,156,.558,28,62,.452,39,58,97,17,13,19,22,29,202,,22.9,16.8,8.1,1.4
Oscar Robertson,12,10,380,88,172,.512,,,,88,172,.512,70,98,.714,,,69,81,,,,41,246,,31.7,20.5,5.8,6.8
Dwyane Wade,12,10,285,83,131,.634,4,16,.250,79,115,.687,18,25,.720,18,25,43,58,27,5,31,20,188,,23.8,15.7,3.6,4.8
Elvin Hayes,12,4,264,52,129,.403,0,0,,52,129,.403,22,34,.647,16,38,92,17,5,6,5,37,126,,22.0,10.5,7.7,1.4
Bill Russell,12,7,343,51,111,.459,,,,51,111,.459,18,34,.529,,,139,39,,,,37,120,,28.6,10.0,11.6,3.3
Moses Malone,11,8,271,44,98,.449,0,0,,44,98,.449,40,67,.597,44,64,108,15,9,6,19,26,128,,24.6,11.6,9.8,1.4
Magic Johnson,11,10,331,64,131,.489,10,21,.476,54,110,.491,38,42,.905,21,36,57,127,21,7,48,25,176,,30.1,16.0,5.2,11.5
Julius Erving,11,11,316,85,178,.478,1,1,1.000,84,177,.475,50,63,.794,34,36,70,35,18,11,19,31,221,,28.7,20.1,6.4,3.2
Elgin Baylor,11,11,321,70,164,.427,,,,70,164,.427,78,98,.796,,,99,38,,,,31,218,,29.2,19.8,9.0,3.5
Dolph Schayes,11,,,48,109,.440,,,,48,109,.440,42,50,.840,,,105,17,,,,32,138,,,12.5,9.5,1.5
Isiah Thomas,11,10,318,76,133,.571,6,15,.400,70,118,.593,27,35,.771,12,15,27,97,31,0,41,17,185,,28.9,16.8,2.5,8.8
Bob Pettit,11,9,360,81,193,.420,,,,81,193,.420,62,80,.775,,,178,23,,,,25,224,,32.7,20.4,16.2,2.1
Hal Greer,10,2,207,47,102,.461,,,,47,102,.461,26,37,.703,,,45,28,,,,29,120,,20.7,12.0,4.5,2.8
Larry Bird,10,9,287,52,123,.423,3,13,.231,49,110,.445,27,32,.844,19,60,79,41,23,3,31,28,134,,28.7,13.4,7.9,4.1
John Stockton,10,4,197,35,66,.530,7,21,.333,28,45,.622,4,6,.667,2,15,17,71,16,1,29,20,81,,19.7,8.1,1.7,7.1
Carmelo Anthony,10,8,262,76,150,.507,17,52,.327,59,98,.602,16,22,.727,33,42,75,11,5,3,10,12,185,,26.2,18.5,7.5,1.1
Ray Allen,10,0,201,55,130,.423,22,71,.310,33,59,.559,13,17,.765,7,19,26,22,11,2,13,13,145,,20.1,14.5,2.6,2.2
David Robinson,10,3,184,50,85,.588,0,0,,50,85,.588,41,59,.695,22,40,62,8,13,13,11,26,141,,18.4,14.1,6.2,0.8
Chris Paul,10,4,270,53,100,.530,22,47,.468,31,53,.585,6,7,.857,8,35,43,128,26,0,25,22,134,,27.0,13.4,4.3,12.8
Kevin Durant,10,8,269,97,181,.536,30,86,.349,67,95,.705,26,29,.897,14,48,62,37,17,5,11,11,250,,26.9,25.0,6.2,3.7
