Player,MVP
Kareem Abdul-Jabbar,6
Michael Jordan,5
Bill Russell,5
Wilt Chamberlain,4
LeBron James,4
Larry Bird,3
Julius Erving,3
Magic Johnson,3
Moses Malone,3
Giannis Antetokounmpo,2
Stephen Curry,2
Mel Daniels,2
Tim Duncan,2
Karl Malone,2
Steve Nash,2
Bob Pettit,2
Charles Barkley,1
Kobe Bryant,1
Bob Cousy,1
Dave Cowens,1
Billy Cunningham,1
Kevin Durant,1
Julius Erving,1
Kevin Garnett,1
Artis Gilmore,1
James Harden,1
Connie Hawkins,1
Spencer Haywood,1
Allen Iverson,1
Bob McAdoo,1
George McGinnis,1
Dirk Nowitzki,1
Shaquille O'Neal,1
Hakeem Olajuwon,1
Willis Reed,1
Oscar Robertson,1
David Robinson,1
Derrick Rose,1
Wes Unseld,1
Bill Walton,1
Russell Westbrook,1
